,Store,Dept,Weekly_Sales,IsHoliday
2010-02-05,1,1,24924.5,False
2010-02-12,1,1,46039.49,True
2010-02-19,1,1,41595.55,False
2010-02-26,1,1,19403.54,False
2010-03-05,1,1,21827.9,False
2010-03-12,1,1,21043.39,False
2010-03-19,1,1,22136.64,False
2010-03-26,1,1,26229.21,False
2010-04-02,1,1,57258.43,False
2010-04-09,1,1,42960.91,False
2010-04-16,1,1,17596.96,False
2010-04-23,1,1,16145.35,False
2010-04-30,1,1,16555.11,False
2010-05-07,1,1,17413.94,False
2010-05-14,1,1,18926.74,False
2010-05-21,1,1,14773.04,False
2010-05-28,1,1,15580.43,False
2010-06-04,1,1,17558.09,False
2010-06-11,1,1,16637.62,False
2010-06-18,1,1,16216.27,False
2010-06-25,1,1,16328.72,False
2010-07-02,1,1,16333.14,False
2010-07-09,1,1,17688.76,False
2010-07-16,1,1,17150.84,False
2010-07-23,1,1,15360.45,False
2010-07-30,1,1,15381.82,False
2010-08-06,1,1,17508.41,False
2010-08-13,1,1,15536.4,False
2010-08-20,1,1,15740.13,False
2010-08-27,1,1,15793.87,False
2010-09-03,1,1,16241.78,False
2010-09-10,1,1,18194.74,True
2010-09-17,1,1,19354.23,False
2010-09-24,1,1,18122.52,False
2010-10-01,1,1,20094.19,False
2010-10-08,1,1,23388.03,False
2010-10-15,1,1,26978.34,False
2010-10-22,1,1,25543.04,False
2010-10-29,1,1,38640.93,False
2010-11-05,1,1,34238.88,False
2010-11-12,1,1,19549.39,False
2010-11-19,1,1,19552.84,False
2010-11-26,1,1,18820.29,True
2010-12-03,1,1,22517.56,False
2010-12-10,1,1,31497.65,False
2010-12-17,1,1,44912.86,False
2010-12-24,1,1,55931.23,False
2010-12-31,1,1,19124.58,True
2011-01-07,1,1,15984.24,False
2011-01-14,1,1,17359.7,False
2011-01-21,1,1,17341.47,False
2011-01-28,1,1,18461.18,False
2011-02-04,1,1,21665.76,False
2011-02-11,1,1,37887.17,True
2011-02-18,1,1,46845.87,False
2011-02-25,1,1,19363.83,False
2011-03-04,1,1,20327.61,False
2011-03-11,1,1,21280.4,False
2011-03-18,1,1,20334.23,False
2011-03-25,1,1,20881.1,False
2011-04-01,1,1,20398.09,False
2011-04-08,1,1,23873.79,False
2011-04-15,1,1,28762.37,False
2011-04-22,1,1,50510.31,False
2011-04-29,1,1,41512.39,False
2011-05-06,1,1,20138.19,False
2011-05-13,1,1,17235.15,False
2011-05-20,1,1,15136.78,False
2011-05-27,1,1,15741.6,False
2011-06-03,1,1,16434.15,False
2011-06-10,1,1,15883.52,False
2011-06-17,1,1,14978.09,False
2011-06-24,1,1,15682.81,False
2011-07-01,1,1,15363.5,False
2011-07-08,1,1,16148.87,False
2011-07-15,1,1,15654.85,False
2011-07-22,1,1,15766.6,False
2011-07-29,1,1,15922.41,False
2011-08-05,1,1,15295.55,False
2011-08-12,1,1,14539.79,False
2011-08-19,1,1,14689.24,False
2011-08-26,1,1,14537.37,False
2011-09-02,1,1,15277.27,False
2011-09-09,1,1,17746.68,True
2011-09-16,1,1,18535.48,False
2011-09-23,1,1,17859.3,False
2011-09-30,1,1,18337.68,False
2011-10-07,1,1,20797.58,False
2011-10-14,1,1,23077.55,False
2011-10-21,1,1,23351.8,False
2011-10-28,1,1,31579.9,False
2011-11-04,1,1,39886.06,False
2011-11-11,1,1,18689.54,False
2011-11-18,1,1,19050.66,False
2011-11-25,1,1,20911.25,True
2011-12-02,1,1,25293.49,False
2011-12-09,1,1,33305.92,False
2011-12-16,1,1,45773.03,False
2011-12-23,1,1,46788.75,False
2011-12-30,1,1,23350.88,True
2012-01-06,1,1,16567.69,False
2012-01-13,1,1,16894.4,False
2012-01-20,1,1,18365.1,False
2012-01-27,1,1,18378.16,False
2012-02-03,1,1,23510.49,False
2012-02-10,1,1,36988.49,True
2012-02-17,1,1,54060.1,False
2012-02-24,1,1,20124.22,False
2012-03-02,1,1,20113.03,False
2012-03-09,1,1,21140.07,False
2012-03-16,1,1,22366.88,False
2012-03-23,1,1,22107.7,False
2012-03-30,1,1,28952.86,False
2012-04-06,1,1,57592.12,False
2012-04-13,1,1,34684.21,False
2012-04-20,1,1,16976.19,False
2012-04-27,1,1,16347.6,False
2012-05-04,1,1,17147.44,False
2012-05-11,1,1,18164.2,False
2012-05-18,1,1,18517.79,False
2012-05-25,1,1,16963.55,False
2012-06-01,1,1,16065.49,False
2012-06-08,1,1,17666.0,False
2012-06-15,1,1,17558.82,False
2012-06-22,1,1,16633.41,False
2012-06-29,1,1,15722.82,False
2012-07-06,1,1,17823.37,False
2012-07-13,1,1,16566.18,False
2012-07-20,1,1,16348.06,False
2012-07-27,1,1,15731.18,False
2012-08-03,1,1,16628.31,False
2012-08-10,1,1,16119.92,False
2012-08-17,1,1,17330.7,False
2012-08-24,1,1,16286.4,False
2012-08-31,1,1,16680.24,False
2012-09-07,1,1,18322.37,True
2012-09-14,1,1,19616.22,False
2012-09-21,1,1,19251.5,False
2012-09-28,1,1,18947.81,False
2012-10-05,1,1,21904.47,False
2012-10-12,1,1,22764.01,False
2012-10-19,1,1,24185.27,False
2012-10-26,1,1,27390.81,False
